# 0:Asia, 1:Africa, 2:North America, 3:South America, 4:Europe, 5:Australia, 6:Antarctica
code,name,continent
AFG,Afganistan,0
IRN,Iran,0
TWN,Taiwan,0
MYS,Malesia,0
SGP,Singapore,0
IND,Indonesia,0
KOR,South Korea,0
MYS,Malesia,0
CHN,China,0
JPN,Japan,0
TUR,Turkey,0
RUS,Russia,0
BLR,Belarus,0
IND,India,0
BGD,Bangladesh,0
#VNM,Vietnam,0
NPL,Nepal,0
THA,Thailand,0
MMR,Myanmar,0
MYS,Malaysia,0
YEM,Yemen,0
IRQ,Iraq,0
PAK,Pakistan,0
PHL,Philippines,0
SAU,Saudi Arabia,0
UZB,Uzbekistan,0
MOZ,Mozambique,1
GHA,Ghana,1
AGO,Angola,1
MAR,Morocco,1
#UGA,Uganda,1
DZA,Algeria,1
ETH,Ethiopia,1
TZA,Tanzania,1
#NIG,Nigeria,1
KEN,Kenya,1
COD,Congo,1
EGY,Egypt,1
#ZAF,South Africa,1
CUB,Cuba,2
USA,United States,2
MEX,Mexico,2
CAN,Canada,2
PER,Peru,3
VEN,Venezuela,3
COL,Colombia,3
ARG,Argentina,3
BRA,Brazil,3
CHL,Chile,3
ISL,Iceland,4
FIN,Finland,4
SWE,Sweden,4
NOR,Norway,4
DNK,Denmark,4
GRC,Greece,4
NLD,Netherlands,4
AUT,Austria,4
POL,Poland,4
GBR,UK,4
BEL,Belgium,4
PRT,Portugal,4
HRV,Croatia,4
HUN,Hungary,4
MLT,Malta,4
LUX,Luxembourg,4
ROU,Romania,4
CYP,Cyprus,4
PRT,Portugal,4
CZE,Czechia,4
BGR,Bulgaria,4
IRL,Ireland,4
SVN,Slovenia,4
LTU,Lithunia,4
EST,Estonia,4
LVA,Latvia,4
ESP,Spain,4
ITA,Italy,4
FRA,France,4
DEU,Germany,4
CHE,Switzerland,4
AUS,Australia,5
